taxon_id	Domain	Status	Study	Genome_Name	Sequencing_Center	IMG_ID	Phylum	Class	Order	Family	Genus	Species	taxid	Strain	Genome_Size	Gene_Count	score2
t638154510	Archaea	Finished	Methanothermobacter thermautotrophicus Delta H	Methanothermobacter thermautotrophicus Delta H	Genome Therapeutics	638154510	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter thermautotrophicus	187420	Delta H	1751377	1893	NA
t637000162	Archaea	Finished	Methanosarcina barkeri fusaro	Methanosarcina barkeri Fusaro, DSM 804	DOE Joint Genome Institute (JGI)	637000162	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina barkeri	269797	Fusaro, DSM 804	4873766	3834	NA
t640427121	Archaea	Finished	Methanobrevibacter smithii PS, ATCC 35061	Methanobrevibacter smithii PS, ATCC 35061	Washington University in St. Louis	640427121	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii	420247	PS, ATCC 35061	1853160	1841	NA
t640069318	Archaea	Finished	Diverse archaeal organisms	Methanoculleus marisnigri JR1, DSM 1498	DOE Joint Genome Institute (JGI)	640069318	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	Methanoculleus marisnigri	368407	JR1, DSM 1498	2478101	2560	NA
t650716098	Archaea	Finished	Thermoproteus uzoniensis 768-20	Thermoproteus uzoniensis 768-20	Russian Academy of Science, Centre Bioengineering	650716098	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	Thermoproteus uzoniensis	999630	768-20	1936063	2224	NA
t646564583	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Thermosphaera aggregans M11TL, DSM 11486	DOE Joint Genome Institute (JGI)	646564583	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermosphaera	Thermosphaera aggregans	633148	M11TL, DSM 11486	1316595	1457	NA
t646311934	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Haloterrigena turkmenica VKM B-1734, DSM 5511	DOE Joint Genome Institute (JGI)	646311934	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Haloterrigena	Haloterrigena turkmenica	543526	VKM B-1734, DSM 5511	5440782	5351	NA
t640069326	Archaea	Finished	Pyrobaculum genomes	Pyrobaculum calidifontis JCM 11548	DOE Joint Genome Institute (JGI)	640069326	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum calidifontis	410359	JCM 11548	2009313	2213	NA
t638154518	Archaea	Finished	Sulfolobus solfataricus P2	Sulfolobus solfataricus P2	European Union (EU), ANRT	638154518	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus solfataricus	273057	P2	2992245	3141	NA
t640753036	Archaea	Finished	5 mesophilic methanococci Proposal # 0179-051115	Methanococcus vannielii SB	DOE Joint Genome Institute (JGI)	640753036	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus vannielii	406327	SB	1720048	1755	NA
t638154508	Archaea	Finished	Methanosarcina acetivorans C2A	Methanosarcina acetivorans C2A	Broad Institute	638154508	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina acetivorans	188937	C2A	5751492	4807	NA
t638154522	Archaea	Finished	Thermoplasma volcanium GSS1	Thermoplasma volcanium GSS1	National Institute of Advanced Industrial Science and Technology, AIST	638154522	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	Thermoplasma volcanium	273116	GSS1	1584804	1615	NA
t646564549	Archaea	Finished	5 mesophilic methanococci Proposal # 0179-051115	Methanococcus voltae A3	DOE Joint Genome Institute (JGI)	646564549	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus voltae	456320	A3	1936387	1768	NA
t640069314	Archaea	Finished	Hyperthermus butylicus DSM 5456	Hyperthermus butylicus DSM 5456	Epidauros Biotechnologie AG	640069314	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Hyperthermus	Hyperthermus butylicus	415426	DSM 5456	1667163	1669	NA
t650377981	Archaea	Finished	Sulfolobus islandicus HVE10/4	Sulfolobus islandicus HVE10/4	University of Copenhagen	650377981	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	930943	HVE10/4	2655201	2826	NA
t643692045	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus M.14.25	DOE Joint Genome Institute (JGI)	643692045	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	427317	M.14.25	2608832	2900	NA
t646311944	Archaea	Finished	CSP_787660, Methanoarchaea	Methanocaldococcus vulcanius M7, DSM 12094	DOE Joint Genome Institute (JGI)	646311944	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus vulcanius	579137	M7, DSM 12094	1761737	1808	NA
t639633038	Archaea	Finished	Methanosaeta thermophila	Methanothrix thermoacetophila PT	DOE Joint Genome Institute (JGI)	639633038	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanothrix	Methanothrix thermoacetophila	349307	PT	1879471	1785	NA
t649633053	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Halogeometricum borinquense PR3, DSM 11551	DOE Joint Genome Institute (JGI)	649633053	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halogeometricum	Halogeometricum borinquense	469382	PR3	3944467	3993	NA
t640753029	Archaea	Finished	Ignicoccus hospitalis KIN4/I	Ignicoccus hospitalis KIN4/I, DSM 18386	DOE Joint Genome Institute (JGI)	640753029	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	Ignicoccus hospitalis	453591	KIN4/I, DSM 18386	1297538	1496	NA
t641228496	Archaea	Finished	5 mesophilic methanococci Proposal # 0179-051115	Methanococcus maripaludis C6	DOE Joint Genome Institute (JGI)	641228496	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis	444158	C6	1744193	1874	NA
t650716001	Archaea	Finished	Acidianus hospitalis W1	Acidianus hospitalis W1	University of Copenhagen	650716001	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	Acidianus hospitalis	933801	W1	2137654	2404	NA
t638154517	Archaea	Finished	Sulfolobus acidocaldarius 98-3, DSM 639	Sulfolobus acidocaldarius 98-3, DSM 639	Epidauros Biotechnologie AG	638154517	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius	330779	98-3	2225959	2343	NA
t639633053	Archaea	Finished	Pyrobaculum genomes	Pyrobaculum islandicum DSM 4184	DOE Joint Genome Institute (JGI)	639633053	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum islandicum	384616	DSM 4184	1826402	2063	NA
t639633064	Archaea	Finished	Diverse archaeal organisms	Thermofilum pendens Hrk 5	DOE Joint Genome Institute (JGI)	639633064	Crenarchaeota	Thermoprotei	Thermoproteales	Thermofilaceae	Thermofilum	Thermofilum pendens	368408	Hrk 5	1813393	1930	NA
t638154513	Archaea	Finished	Pyrobaculum aerophilum IM2	Pyrobaculum aerophilum IM2	California Institute of Technology, University of California, Los Angeles	638154513	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum aerophilum	178306	IM2	2222430	2625	NA
t643886215	Archaea	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Methanobrevibacter smithii F1, DSM 2374	Washington University in St. Louis	643886215	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii	521002	F1, DSM 2374	1707624	1749	NA
t651324076	Archaea	Permanent Draft	Candidatus Nitrosoarchaeum koreensis MY1	Candidatus Nitrosoarchaeum koreensis MY1	Korea Research Institute of Bioscience and Biotechnology	651324076	Thaumarchaeota	unclassified	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosoarchaeum	Candidatus Nitrosoarchaeum koreensis	1001994	MY1	1607695	1991	NA
t650377985	Archaea	Finished	Vulcanisaeta moutnovskia 768-28	Vulcanisaeta moutnovskia 768-28	Russian Academy of Science, Centre Bioengineering	650377985	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	Vulcanisaeta moutnovskia	985053	768-28	2298983	2365	NA
t648028029	Archaea	Finished	Halalkalicoccus jeotgali B3, DSM 18796	Halalkalicoccus jeotgali B3, DSM 18796	Kyunghee University	648028029	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halalkalicoccus	Halalkalicoccus jeotgali	795797	B3	3698650	3925	NA
t646311906	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Archaeoglobus profundus Av18, DSM 5631	DOE Joint Genome Institute (JGI)	646311906	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus profundus	572546	Av18, DSM 5631	1563423	1911	NA
t638154512	Archaea	Finished	Picrophilus torridus DSM 9790	Picrophilus torridus DSM 9790	University of Gottingen, ANRT, Technical University of Hamburg	638154512	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus	Picrophilus torridus	263820	DSM 9790	1545895	1605	NA
t648028003	Archaea	Finished	Acidilobus saccharovorans 345-15	Acidilobus saccharovorans 345-15	Russian Academy of Science, Centre Bioengineering	648028003	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	Acidilobus saccharovorans	666510	345-15	1496453	1547	NA
t644736412	Archaea	Finished	Thermococcus sibiricus MM 739	Thermococcus sibiricus MM 739	Russian Academy of Science, Centre Bioengineering	644736412	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sibiricus	604354	MM 739	1845800	2085	NA
t641522611	Archaea	Finished	Candidatus Korarchaeum cryptofilum OPF8	Candidatus Korarchaeum cryptofilum OPF8	DOE Joint Genome Institute (JGI)	641522611	Candidatus Korarchaeota	unclassified	unclassified	unclassified	Candidatus Korarchaeum	Candidatus Korarchaeum cryptofilum	374847	OPF8	1590757	1661	NA
t646564547	Archaea	Finished	CSP_787660, Methanoarchaea	Methanocaldococcus infernus ME	DOE Joint Genome Institute (JGI)	646564547	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus infernus	573063	ME	1328194	1513	NA
t637000161	Archaea	Finished	Methanococcoides burtonii DSM 6242	Methanococcoides burtonii DSM 6242	DOE Joint Genome Institute (JGI)	637000161	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	Methanococcoides burtonii	259564	DSM 6242	2575032	2506	NA
t648028035	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Ignisphaera aggregans AQ1.S1, DSM 17230	DOE Joint Genome Institute (JGI)	648028035	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignisphaera	Ignisphaera aggregans	583356	AQ1.S1, DSM 17230	1875953	2042	NA
t646564555	Archaea	Finished	CSP_788459, Alkaliphilic Haloarchaeon	Natrialba magadii ATCC 43099	DOE Joint Genome Institute (JGI)	646564555	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrialba	Natrialba magadii	547559	ATCC 43099	4443643	4364	NA
t641228483	Archaea	Finished	Caldivirga maquilingensis IC-167	Caldivirga maquilingensis IC-167	DOE Joint Genome Institute (JGI)	641228483	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Caldivirga	Caldivirga maquilingensis	397948	IC-167	2077567	2011	NA
t643348525	Archaea	Finished	Candidatus Methanosphaerula palustris E1-9c	Methanosphaerula palustris E1-9c, DSM 19958	DOE Joint Genome Institute (JGI)	643348525	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanosphaerula	Methanosphaerula palustris	521011	E1-9c, DSM 19958	2922917	2859	NA
t646862347	Archaea	Finished	Obsidian Hot Spring Microbial Community Genomics	Sulfolobus solfataricus 98/2	DOE Joint Genome Institute (JGI)	646862347	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus solfataricus	555311	98/2	2668974	2728	NA
t644736373	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Halorhabdus utahensis AX-2, DSM 12940	DOE Joint Genome Institute (JGI)	644736373	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halorhabdus	Halorhabdus utahensis	519442	AX-2, DSM 12940	3116795	3076	NA
t648028040	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Methanolacinia petrolearia DSM 11571	DOE Joint Genome Institute (JGI)	648028040	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanolacinia	Methanolacinia petrolearia	679926	DSM 11571	2843290	2881	NA
t651053028	Archaea	Finished	Haloquadratum walsbyi C23, DSM 16854	Haloquadratum walsbyi C23, DSM 16854	Max Planck Institute	651053028	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloquadratum	Haloquadratum walsbyi	768065	C23, DSM 16854	3260476	3044	NA
t643886144	Archaea	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Methanobrevibacter smithii DSM 2375	Washington University in St. Louis	643886144	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii	483214	DSM 2375	1704865	1748	NA
t643692048	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus Y.G.57.14	DOE Joint Genome Institute (JGI)	643692048	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	439386	Y.G.57.14	2702058	3079	NA
t650716052	Archaea	Finished	Genome sequencing and comparison of novel methanogens from peatlands and bioreactors	Methanobacterium lacus AL-21	DOE Joint Genome Institute (JGI)	650716052	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium lacus	877455	AL-21	2583753	2584	NA
t643348540	Archaea	Finished	Desulfurococcus kamchatkensis 1221n	Desulfurococcus kamchatkensis 1221n	Russian Academy of Science, Centre Bioengineering	643348540	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus amylolyticus	490899	1221n	1365223	1521	NA
t638154507	Archaea	Finished	Methanopyrus kandleri AV19	Methanopyrus kandleri AV19	Fidelity Systems Inc	638154507	Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus	Methanopyrus kandleri	190192	AV19	1694969	1767	NA
t650716080	Archaea	Finished	Pyrococcus yayanosii CH1	Pyrococcus yayanosii CH1	Shanghai Jiao Tong University	650716080	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus yayanosii	529709	CH1	1716818	1915	NA
t650716097	Archaea	Finished	Thermococcus sp. 4557	Thermococcus sp. 4557	Beijing Genomics Institute (BGI)	650716097	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sp. 4557	1042877	4557	2011320	2181	NA
t638154505	Archaea	Finished	Methanocaldococcus jannaschii DSM 2661	Methanocaldococcus jannaschii DSM 2661	J. Craig Venter Institute (JCVI)	638154505	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus jannaschii	243232	DSM 2661	1739927	1844	NA
t646564548	Archaea	Finished	CSP_787660, Methanoarchaea	Methanocaldococcus sp. FS406-22	DOE Joint Genome Institute (JGI)	646564548	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus sp. FS406-22	644281	FS406-22	1773136	1893	NA
t650716056	Archaea	Finished	CSP_787660, Methanoarchaea	Methanotorris igneus Kol5, DSM 5666	DOE Joint Genome Institute (JGI)	650716056	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanotorris	Methanotorris igneus	880724	Kol5	1854197	1843	NA
t646564573	Archaea	Finished	Comparative genomics of the Archaea	Staphylothermus hellenicus P8, DSM 12710	DOE Joint Genome Institute (JGI)	646564573	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	Staphylothermus hellenicus	591019	P8, DSM 12710	1580347	1716	NA
t638154515	Archaea	Finished	Pyrococcus furiosus DSM 3638	Pyrococcus furiosus DSM 3638	University of Maryland, University of Utah	638154515	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus	186497	DSM 3638	1908256	2179	NA
t638154503	Archaea	Finished	Haloarcula marismortui ATCC 43049	Haloarcula marismortui ATCC 43049	Institute for Systems Biology	638154503	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula marismortui	272569	ATCC 43049	4274642	4387	NA
t646564550	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Methanohalophilus mahii SLP, DSM 5219	DOE Joint Genome Institute (JGI)	646564550	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalophilus	Methanohalophilus mahii	547558	SLP, DSM 5219	2012424	2095	NA
t640427120	Archaea	Finished	Metallosphaera sedula DSM 5348	Metallosphaera sedula DSM 5348	DOE Joint Genome Institute (JGI)	640427120	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera sedula	399549	DSM 5348	2191517	2347	NA
t638341092	Archaea	Finished	Ferroplasma acidarmanus fer1	Ferroplasma acidarmanus Fer1	DOE Joint Genome Institute (JGI)	638341092	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Ferroplasma	Ferroplasma acidarmanus	333146	Fer1	1865438	1742	NA
t638154519	Archaea	Finished	Sulfolobus tokodaii 7, JCM 10545	Sulfolobus tokodaii 7, JCM 10545	National Institute of Technology and Evaluation	638154519	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus tokodaii	273063	7, JCM 10545	2694756	2982	NA
t650716096	Archaea	Finished	Thermococcus barophilus MP, DSM 11836	Thermococcus barophilus MP, DSM 11836	J. Craig Venter Institute (JCVI)	650716096	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus barophilus	391623	MP, DSM 11836	2064237	2315	NA
t637000164	Archaea	Finished	Methanogenic Syntropic Consortium	Methanospirillum hungatei JF-1	DOE Joint Genome Institute (JGI)	637000164	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanospirillum	Methanospirillum hungatei	323259	JF-1	3544738	3307	NA
t640069316	Archaea	Finished	5 mesophilic methanococci Proposal # 0179-051115	Methanococcus maripaludis C5	DOE Joint Genome Institute (JGI)	640069316	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis	402880	C5	1789046	1896	NA
t648028039	Archaea	Finished	Comparative genomics of the Archaea	Methanohalobium evestigatum Z-7303, DSM 3721	DOE Joint Genome Institute (JGI)	648028039	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalobium	Methanohalobium evestigatum	644295	Z-7303, DSM 3721	2406232	2437	NA
t644736372	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Halomicrobium mukohataei arg-2, DSM 12286	DOE Joint Genome Institute (JGI)	644736372	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halomicrobium	Halomicrobium mukohataei	485914	arg-2, DSM 12286	3332349	3475	NA
t641522657	Archaea	Finished	Pyrobaculum genomes	Pyrobaculum neutrophilum V24Sta	DOE Joint Genome Institute (JGI)	641522657	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum neutrophilum	444157	V24Sta	1769823	2053	NA
t646311959	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus L.D.8.5	DOE Joint Genome Institute (JGI)	646311959	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	425944	L.D.8.5	2748647	2996	NA
t638154520	Archaea	Finished	Thermococcus kodakarensis KOD1	Thermococcus kodakarensis KOD1	ANRT, Kyoto University	638154520	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus kodakarensis	69014	KOD1	2088737	2428	NA
t650716051	Archaea	Finished	Metallosphaera cuprina Ar-4	Metallosphaera cuprina Ar-4	Chinese Academy of Sciences	650716051	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera cuprina	1006006	Ar-4	1840348	2077	NA
t643348580	Archaea	Finished	Thermococcus onnurineus NA1	Thermococcus onnurineus NA1	Korea Institute of Ocean Science and Technology (KIOST)	643348580	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus onnurineus	523850	NA1	1847607	2027	NA
t646564501	Archaea	Finished	CSP_300154_796307	Aciduliprofundum boonei T469	DOE Joint Genome Institute (JGI)	646564501	Euryarchaeota	unclassified	unclassified	unclassified	Aciduliprofundum	Aciduliprofundum boonei	439481	T469	1486778	1587	NA
t650716055	Archaea	Finished	CSP_787660, Methanoarchaea	Methanothermococcus okinawensis IH1	DOE Joint Genome Institute (JGI)	650716055	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus	Methanothermococcus okinawensis	647113	IH1	1677455	1672	NA
t640753014	Archaea	Finished	Acidic Peat Bog methanogen	Methanoregula boonei 6A8	DOE Joint Genome Institute (JGI)	640753014	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	Methanoregula boonei	456442	6A8	2542943	2518	NA
t638154502	Archaea	Finished	Archaeoglobus fulgidus VC-16, DSM 4304	Archaeoglobus fulgidus VC-16, DSM 4304	J. Craig Venter Institute (JCVI)	638154502	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus	224325	VC-16	2178400	2519	NA
t640069332	Archaea	Finished	Diverse archaeal organisms	Staphylothermus marinus F1, DSM 3639	DOE Joint Genome Institute (JGI)	640069332	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	Staphylothermus marinus	399550	F1, DSM 3639	1570485	1659	NA
t640753035	Archaea	Finished	5 mesophilic methanococci Proposal # 0179-051115	Methanococcus maripaludis C7	DOE Joint Genome Institute (JGI)	640753035	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis	426368	C7	1772694	1858	NA
t640753034	Archaea	Finished	5 mesophilic methanococci Proposal # 0179-051115	Methanococcus aeolicus Nankai-3	DOE Joint Genome Institute (JGI)	640753034	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus aeolicus	419665	Nankai-3	1569500	1554	NA
t638154504	Archaea	Finished	Halobacterium sp. NRC-1	Halobacterium salinarum NRC-1	University of Massachusetts, University of Washington	638154504	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium salinarum	64091	NRC-1	2571010	2728	NA
t648028041	Archaea	Finished	Methanothermobacter marburgensis Marburg DSM 2133	Methanothermobacter marburgensis Marburg DSM 2133	University of Gottingen	648028041	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter marburgensis	79929	Marburg	1639135	1806	NA
t640427135	Archaea	Finished	Pyrobaculum genomes	Pyrobaculum arsenaticum PZ6, DSM 13514	DOE Joint Genome Institute (JGI)	640427135	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum arsenaticum	340102	PZ6, DSM 13514	2121076	2410	NA
